full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max,gender
9848-44,9848,44,54,0.294,White,0.185,0.0,0.093,0.019,0.0,0.0,0.0,0.0,0.963,10.0,38.0,14.795,45.0,11.0,52.0,,,,,,,5.0,43.2,20.03,40.0,24.0,74.0,1.0,60.0,,60.0,60.0,60.0,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,77.481,19.531,81.0,29.0,100.0,27.852,5.156,28.0,54,16,40,0.944,4.426,1.34,5.0,54.0,1,7,5.667,0.911,6.0,54,3,7,Women
10571-68,10571,68,50,0.188,White,0.12,0.0,0.24,0.1,0.04,0.02,0.0,0.02,0.8,6.0,44.833,18.999,47.0,15.0,70.0,,,,,,,12.0,49.417,13.983,48.5,25.0,71.0,5.0,35.8,17.427,32.0,15.0,57.0,2.0,40.5,13.435,40.5,31.0,50.0,1.0,29.0,,29.0,29.0,29.0,,,, NA ,,,1.0,71.0,,71.0,71.0,71.0,40.0,75.65,17.747,78.0,36.0,100.0,44.16,6.962,45.0,50,27,63,1.0,3.92,1.226,4.0,50.0,1,6,5.96,0.781,6.0,50,4,7,Women
12360-1892,12360,1892,53,0.294,White,0.0,0.0,0.019,0.0,0.038,0.019,0.0,0.0,0.981,,,,,,,,,,,,,1.0,29.0,,29.0,29.0,29.0,,,,,,,2.0,71.0,26.87,71.0,52.0,90.0,1.0,20.0,,20.0,20.0,20.0,,,, NA ,,,,,,,,,52.0,92.808,8.992,95.0,61.0,100.0,25.887,4.264,25.0,53,18,38,0.981,5.755,1.175,6.0,53.0,1,7,4.698,1.249,5.0,53,1,7,Women
13119-1003,13119,1003,53,0.25,White,0.0,0.019,0.17,0.057,0.0,0.038,0.019,0.019,0.83,,,,,,,1.0,20.0,,20.0,20.0,20.0,9.0,45.556,23.49,42.0,20.0,84.0,3.0,61.333,19.425,66.0,40.0,78.0,,,,,,,2.0,58.0,11.314,58.0,50.0,66.0,1.0,30.0,, 30.0 ,30.0,30.0,1.0,49.0,,49.0,49.0,49.0,44.0,84.886,18.893,89.5,15.0,100.0,26.679,3.474,27.0,53,20,40,1.0,6.189,0.921,6.0,53.0,3,7,5.264,1.022,5.0,53,3,7,Women
13372-49,13372,49,51,0.0,White,0.0,0.0,0.098,0.118,0.02,0.02,0.0,0.02,0.922,,,,,,,,,,,,,5.0,47.4,29.585,30.0,23.0,84.0,6.0,50.333,27.933,50.0,6.0,85.0,1.0,81.0,,81.0,81.0,81.0,1.0,50.0,,50.0,50.0,50.0,,,, NA ,,,1.0,50.0,,50.0,50.0,50.0,47.0,81.66,15.332,87.0,51.0,100.0,37.314,5.673,36.0,51,23,50,1.0,5.255,0.977,5.0,51.0,3,7,4.49,1.007,5.0,51,2,6,Women
13553-1188,13553,1188,52,0.2,White,0.231,0.0,0.135,0.0,0.0,0.019,0.0,0.0,0.923,12.0,28.667,17.448,29.0,3.0,71.0,,,,,,,7.0,49.429,18.247,51.0,19.0,70.0,,,,,,,,,,,,,1.0,90.0,,90.0,90.0,90.0,,,, NA ,,,,,,,,,48.0,77.563,21.163,81.5,11.0,100.0,29.962,5.502,30.0,52,19,44,0.981,4.654,1.385,5.0,52.0,1,7,5.212,1.126,5.0,52,3,7,Women
16252-44,16252,44,54,0.167,White,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,2.0,17.0,2.828,17.0,15.0,19.0,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,54.0,94.833,7.21,99.0,75.0,100.0,25.926,3.942,25.5,54,19,35,1.0,5.333,1.082,5.0,54.0,3,7,5.593,0.836,6.0,54,4,7,Women
16958-3928,16958,3928,55,0.176,White,0.0,0.0,0.091,0.0,0.018,0.0,0.0,0.0,0.964,,,,,,,,,,,,,5.0,40.2,27.905,34.0,15.0,83.0,,,,,,,1.0,28.0,,28.0,28.0,28.0,,,,,,,,,, NA ,,,,,,,,,53.0,91.019,10.33,93.0,60.0,100.0,24.727,2.718,25.0,55,15,30,0.982,5.964,1.036,6.0,55.0,1,7,6.491,0.605,7.0,55,5,7,Women
17235-3820,17235,3820,53,0.188,White,0.019,0.226,0.208,0.0,0.057,0.075,0.038,0.019,0.774,1.0,72.0,,72.0,72.0,72.0,12.0,48.5,24.344,60.0,10.0,82.0,11.0,57.909,25.975,56.0,18.0,92.0,,,,,,,3.0,26.333,15.177,29.0,10.0,40.0,4.0,62.0,18.833,61.0,40.0,86.0,2.0,44.5,21.92, 44.5 ,29.0,60.0,1.0,77.0,,77.0,77.0,77.0,41.0,70.439,24.884,75.0,0.0,100.0,35.34,5.657,35.0,53,20,50,1.0,4.906,1.097,5.0,53.0,3,7,5.642,0.942,6.0,53,4,7,Women
17284-27,17284,27,53,0.0,White,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,20.0,,20.0,20.0,20.0,,,,,,,1.0,80.0,,80.0,80.0,80.0,,,, NA ,,,,,,,,,53.0,90.434,14.019,95.0,20.0,100.0,32.811,5.133,32.0,53,20,45,0.981,5.491,0.953,6.0,53.0,4,7,4.396,1.149,4.0,53,1,7,Women
19933-30,19933,30,52,0.176,White,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,97.019,5.392,100.0,77.0,100.0,27.885,4.545,27.0,52,19,42,0.981,5.25,1.186,5.0,52.0,1,7,5.962,0.907,6.0,52,3,7,Women
