full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max,gender
6600-27,6600,27,54,0.067,White,0.278,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.963,15.0,32.533,18.33,35.0,9.0,61.0,,,,,,,6.0,60.0,30.166,65.0,20.0,100.0,,,,,,,,,,,,,,,,,,,,,, NA ,,,,,,,,,52.0,75.981,19.113,80.0,16.0,100.0,24.278,5.243,24.0,54,17,45,0.074,4.389,1.338,4.0,54.0,1,7,5.185,1.183,5.0,54,3,7,Men
7352-1188,7352,1188,50,0.357,White,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0,30.0,,30.0,30.0,30.0,,,,,,,1.0,13.0,,13.0,13.0,13.0,,,,,,,,,, NA ,,,,,,,,,50.0,93.56,9.201,99.0,65.0,100.0,34.72,5.643,35.0,50,25,45,0.0,3.8,1.178,4.0,50.0,1,6,4.56,1.013,5.0,50,1,7,Men
9310-27,9310,27,53,0.176,White,0.019,0.075,0.075,0.019,0.038,0.019,0.038,0.0,0.925,1.0,33.0,,33.0,33.0,33.0,4.0,59.0,11.86,55.5,50.0,75.0,4.0,42.25,19.103,44.0,20.0,61.0,1.0,46.0,,46.0,46.0,46.0,2.0,51.0,29.698,51.0,30.0,72.0,1.0,91.0,,91.0,91.0,91.0,2.0,39.5,0.707, 39.5 ,39.0,40.0,,,,,,,49.0,74.755,19.489,80.0,26.0,100.0,37.226,5.928,35.0,53,26,55,0.0,3.943,1.277,4.0,53.0,1,7,4.585,0.929,5.0,53,2,7,Men
12755-32,12755,32,54,0.125,White,0.0,0.0,0.056,0.037,0.037,0.0,0.0,0.0,0.944,,,,,,,,,,,,,3.0,60.0,44.441,75.0,10.0,95.0,2.0,45.0,7.071,45.0,40.0,50.0,2.0,51.5,0.707,51.5,51.0,52.0,,,,,,,,,, NA ,,,,,,,,,51.0,89.392,15.443,93.0,37.0,100.0,30.389,5.218,30.0,54,21,45,0.0,4.389,1.14,4.5,54.0,1,7,4.222,0.925,4.0,54,1,6,Men
13437-27,13437,27,50,0.267,White,0.12,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.94,6.0,40.167,15.728,45.0,12.0,54.0,,,,,,,6.0,50.0,25.243,57.5,11.0,78.0,,,,,,,2.0,87.0,12.728,87.0,78.0,96.0,,,,,,,,,, NA ,,,,,,,,,47.0,80.681,16.781,86.0,48.0,100.0,26.56,3.85,25.5,50,18,35,0.0,4.78,1.183,5.0,50.0,1,7,5.66,0.798,6.0,50,4,7,Men
14792-3928,14792,3928,53,0.063,White,0.057,0.0,0.358,0.113,0.0,0.057,0.0,0.038,0.66,3.0,29.0,18.52,22.0,15.0,50.0,,,,,,,19.0,60.947,21.262,66.0,21.0,89.0,6.0,48.333,24.549,47.0,17.0,88.0,,,,,,,3.0,50.0,23.516,51.0,26.0,73.0,,,, NA ,,,2.0,38.5,40.305,38.5,10.0,67.0,35.0,66.771,21.324,70.0,22.0,100.0,33.302,5.202,32.0,53,23,45,0.0,4.0,1.373,4.0,53.0,1,7,4.623,1.13,5.0,53,2,7,Men
15761-3389,15761,3389,51,0.2,White,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,92.0,,92.0,92.0,92.0,,,,,,,,,, NA ,,,,,,,,,51.0,94.961,7.93,100.0,66.0,100.0,32.02,5.058,32.0,51,19,45,0.0,4.647,1.11,5.0,51.0,3,7,5.647,0.844,6.0,51,3,7,Men
1304-3876,1304,3876,53,0.059,Black,0.83,0.019,0.038,0.019,0.038,0.151,0.075,0.057,0.057,44.0,75.977,19.266,80.0,30.0,100.0,1.0,39.0,,39.0,39.0,39.0,2.0,44.5,6.364,44.5,40.0,49.0,1.0,64.0,,64.0,64.0,64.0,2.0,68.5,20.506,68.5,54.0,83.0,8.0,58.125,22.061,59.5,16.0,85.0,4.0,41.25,20.156, 35.0 ,25.0,70.0,3.0,60.0,34.044,53.0,30.0,97.0,3.0,39.0,20.809,50.0,15.0,52.0,29.925,4.98,30.0,53,21,41,1.0,5.83,1.156,6.0,53.0,2,7,5.642,0.879,6.0,53,4,7,Women
1365-533,1365,533,51,0.0,Black,0.98,0.0,0.098,0.0,0.0,0.059,0.0,0.039,0.039,50.0,85.12,16.259,91.0,34.0,100.0,,,,,,,5.0,52.8,17.964,50.0,30.0,75.0,,,,,,,,,,,,,3.0,59.0,14.731,67.0,42.0,68.0,,,, NA ,,,2.0,68.0,24.042,68.0,51.0,85.0,2.0,40.5,0.707,40.5,40.0,41.0,36.529,6.018,36.0,51,25,48,1.0,5.471,1.239,6.0,51.0,2,7,6.431,0.855,7.0,51,4,7,Women
2617-533,2617,533,55,0.118,Black,0.927,0.0,0.018,0.018,0.036,0.145,0.0,0.018,0.0,51.0,85.333,15.123,90.0,29.0,100.0,,,,,,,1.0,23.0,,23.0,23.0,23.0,1.0,51.0,,51.0,51.0,51.0,2.0,54.5,2.121,54.5,53.0,56.0,8.0,54.25,23.819,53.5,18.0,83.0,,,, NA ,,,1.0,18.0,,18.0,18.0,18.0,,,,,,,34.073,5.033,34.0,55,21,46,1.0,4.964,1.247,5.0,55.0,2,7,3.727,1.062,4.0,55,1,6,Women
